car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price,region,fair_price,deviation_pct,cluster,cluster_name,manipulated,manipulation_prob,dev_bucket
2019 Datsun Go Plus,T,Manual,14128,1st Owner,Petrol,DL-3C,539000,DL,616700.0,-0.12599318955732122,1,underpriced,0,0.0,under
2014 Hyundai Eon,MAGNA PLUS,Manual,34328,1st Owner,Petrol,DL-3C,272000,DL,570300.0,-0.5230580396282658,1,underpriced,1,1.0,deep_under
2020 Maruti S PRESSO,VXI CNG,Manual,68657,1st Owner,CNG,HR-72,397000,HR,504000.0,-0.2123015873015873,2,normal,0,0.0,deep_under
2021 KIA SONET,GTX + 1.0 IMT,Manual,7036,1st Owner,Petrol,HR-26,1216000,HR,1076800.0,0.12927191679049035,1,underpriced,0,0.0,over
2018 Hyundai i20 Active,1.2 S,Manual,89972,1st Owner,Petrol,UP-53,607000,UP,569770.0,0.0653421556066483,2,normal,0,0.0,over
2015 Maruti Wagon R 1.0,VXI,Manual,56510,1st Owner,Petrol,HR-26,332000,HR,468000.0,-0.2905982905982906,2,normal,0,0.0,deep_under
2020 Maruti Baleno,SIGMA PETROL 1.2,Manual,18446,2nd Owner,Petrol,DL-5C,570000,DL,686300.0,-0.16945942007868278,1,underpriced,0,0.0,under
2018 HYUNDAI ELITE I20,MAGNA EXECUTIVE 1.2,Manual,55117,2nd Owner,Petrol,DL-8C,552000,DL,565700.0,-0.02421778327735549,2,normal,0,0.0,fair
2017 Hyundai Creta,E PLUS 1.6 PETROL,Manual,70443,1st Owner,Petrol,DL-8C,820000,DL,560300.0,0.463501695520257,0,overpriced,1,1.0,deep_over
2019 Hyundai Xcent,SX 1.2,Manual,42846,1st Owner,CNG,DL-9C,579250,DL,574825.0,0.007697995041969295,1,underpriced,0,0.0,fair
2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,46658,1st Owner,Petrol,DL-2C,396000,DL,417200.0,-0.05081495685522531,2,normal,0,0.0,under
2020 TATA ALTROZ,XZ 1.2,Manual,32195,1st Owner,Petrol,HR-19,692000,HR,668500.0,0.035153328347045626,1,underpriced,0,0.0,fair
2022 Tata Tiago,XZ+ CNG 1.2 RTN,Manual,13579,1st Owner,CNG,DL-9C,753000,DL,700000.0,0.07571428571428572,1,underpriced,0,0.0,over
2021 Renault Kiger,RXL EASY R 1.0 L,Automatic,41505,1st Owner,Petrol,HR-19,686000,HR,766500.0,-0.1050228310502283,1,underpriced,0,0.0,under
2016 Toyota Corolla Altis,G AT,Automatic,88365,1st Owner,Petrol,DL-2C,937000,DL,564300.0,0.6604642920432394,0,overpriced,1,1.0,deep_over
2021 Tata Harrier,XT+ Dark Edition,Manual,15347,1st Owner,Diesel,HR-98,1770000,HR,1246870.0,0.4195545646298331,0,overpriced,1,1.0,deep_over
2016 Honda City,1.5 E MT PETROL,Manual,19282,1st Owner,Petrol,DL-14,615000,DL,632500.0,-0.02766798418972332,1,underpriced,0,0.0,fair
2017 Hyundai Grand i10,SPORTZ (O) 1.2 KAPPA VTVT,Manual,50446,1st Owner,Petrol,HR-10,506000,HR,503135.0,0.005694296759319069,2,normal,0,0.0,fair
2020 KIA SELTOS,GTX + AT PETROL,Automatic,9417,1st Owner,Petrol,DL-8C,1663000,DL,1141800.0,0.45647223681905763,0,overpriced,1,1.0,deep_over
2020 Hyundai AURA,SX 1.2,Manual,31093,1st Owner,Petrol,DL-9C,706000,DL,599800.0,0.1770590196732244,1,underpriced,0,0.0,over
2017 Jeep Compass,2.0 LONGITUDE (O),Manual,32038,1st Owner,Diesel,DL-10,1142000,DL,871500.0,0.3103843947217441,0,overpriced,1,1.0,deep_over
2013 HONDA BRIO,1.2 S MT I VTEC,Manual,50574,1st Owner,Petrol,DL-8C,293000,DL,420700.0,-0.30354171618730685,2,normal,1,1.0,deep_under
2021 HYUNDAI VERNA,SX (O) 1.5 CRDI,Manual,36033,1st Owner,Diesel,HR-10,1596000,HR,1047825.0,0.5231551070073724,0,overpriced,1,1.0,deep_over
2018 Nissan Micra Active,XL(O),Manual,18993,2nd Owner,Petrol,HR-26,484000,HR,591600.0,-0.18187964841108858,1,underpriced,0,0.0,under
2019 Tata Tiago,XZA 1.2 REVOTRON,Automatic,52164,1st Owner,Petrol,DL-3C,520000,DL,643700.0,-0.19217026565170112,2,normal,0,0.0,under
2010 Maruti Wagon R 1.0,LXI,Manual,32075,1st Owner,Petrol,DL-9C,190000,DL,411500.0,-0.5382746051032807,1,underpriced,1,1.0,deep_under
2016 Maruti Baleno,DELTA PETROL 1.2,Manual,69292,1st Owner,Petrol,DL-8C,502000,DL,524900.0,-0.043627357591922274,2,normal,0,0.0,fair
2020 MG HECTOR,SHARP DCT PETROL,Automatic,52597,1st Owner,Petrol,UP-41,1612000,UP,889660.0,0.8119281523278555,0,overpriced,1,1.0,deep_over
2019 Maruti Swift,LXI,Manual,51267,1st Owner,CNG,HR-51,570000,HR,556900.0,0.023523074160531513,2,normal,0,0.0,fair
2015 Hyundai i10,MAGNA 1.1 IRDE2,Manual,48832,1st Owner,Petrol,DL-10,343000,DL,514100.0,-0.33281462750437657,2,normal,1,1.0,deep_under
2014 HYUNDAI GRAND I10,SPORTZ 1.2 KAPPA VTVT,Manual,36938,1st Owner,Petrol,DL-8C,362000,DL,406800.0,-0.11012782694198624,1,underpriced,0,0.0,under
