car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price
2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"46,658 km",1st Owner,Petrol,DL-2C,"₹3,96,000"
2020 TATA ALTROZ,XZ 1.2,Manual,"32,195 km",1st Owner,Petrol,HR-19,"₹6,92,000"
2022 Tata Tiago,XZ+ CNG 1.2 RTN,Manual,"13,579 km",1st Owner,CNG,DL-9C,"₹7,53,000"
2021 Renault Kiger,RXL EASY R 1.0 L,Automatic,"41,505 km",1st Owner,Petrol,HR-19,"₹6,86,000"
2016 Toyota Corolla Altis,G AT,Automatic,"88,365 km",1st Owner,Petrol,DL-2C,"₹9,37,000"
2021 Tata Harrier,XT+ Dark Edition,Manual,"15,347 km",1st Owner,Diesel,HR-98,"₹17,70,000"
2016 Honda City,1.5 E MT PETROL,Manual,"19,282 km",1st Owner,Petrol,DL-14,"₹6,15,000"
2017 Hyundai Grand i10,SPORTZ (O) 1.2 KAPPA VTVT,Manual,"50,446 km",1st Owner,Petrol,HR-10,"₹5,06,000"
2020 KIA SELTOS,GTX + AT PETROL,Automatic,"9,417 km",1st Owner,Petrol,DL-8C,"₹16,63,000"
2020 Hyundai AURA,SX 1.2,Manual,"31,093 km",1st Owner,Petrol,DL-9C,"₹7,06,000"
2017 Jeep Compass,2.0 LONGITUDE (O),Manual,"32,038 km",1st Owner,Diesel,DL-10,"₹11,42,000"
2013 HONDA BRIO,1.2 S MT I VTEC,Manual,"50,574 km",1st Owner,Petrol,DL-8C,"₹2,93,000"
2021 HYUNDAI VERNA,SX (O) 1.5 CRDI,Manual,"36,033 km",1st Owner,Diesel,HR-10,"₹15,96,000"
2018 Nissan Micra Active,XL(O),Manual,"18,993 km",2nd Owner,Petrol,HR-26,"₹4,84,000"
2019 Tata Tiago,XZA 1.2 REVOTRON,Automatic,"52,164 km",1st Owner,Petrol,DL-3C,"₹5,20,000"
2010 Maruti Wagon R 1.0,LXI,Manual,"32,075 km",1st Owner,Petrol,DL-9C,"₹1,90,000"
2016 Maruti Baleno,DELTA PETROL 1.2,Manual,"69,292 km",1st Owner,Petrol,DL-8C,"₹5,02,000"
2020 MG HECTOR,SHARP DCT PETROL,Automatic,"52,597 km",1st Owner,Petrol,UP-41,"₹16,12,000"
2019 Maruti Swift,LXI,Manual,"51,267 km",1st Owner,CNG,HR-51,"₹5,70,000"
2015 Hyundai i10,MAGNA 1.1 IRDE2,Manual,"48,832 km",1st Owner,Petrol,DL-10,"₹3,43,000"
2014 HYUNDAI GRAND I10,SPORTZ 1.2 KAPPA VTVT,Manual,"36,938 km",1st Owner,Petrol,DL-8C,"₹3,62,000"
2017 Honda Brio,VX AT,Automatic,"23,106 km",1st Owner,Petrol,DL-3C,"₹5,31,000"
2021 Maruti Swift,ZXI+,Manual,"6,901 km",1st Owner,Petrol,DL-8C,"₹8,19,000"
2020 Maruti Baleno,SIGMA PETROL 1.2,Manual,"21,864 km",2nd Owner,Petrol,DL-5C,"₹5,61,000"
2018 Honda City,V MT PETROL,Manual,"29,942 km",1st Owner,Petrol,DL-3C,"₹8,64,000"
2018 HONDA AMAZE,1.2 V CVT I VTEC,Automatic,"12,503 km",1st Owner,Petrol,DL-14,"₹7,19,000"
2017 Maruti Dzire,VXI AMT,Automatic,"42,526 km",1st Owner,Petrol,DL-12,"₹5,70,000"
2019 Maruti BALENO,DELTA PETROL 1.2,Manual,"62,610 km",1st Owner,Petrol,DL-2C,"₹5,86,000"
2021 KIA SONET,HTX 1.0 IMT,Manual,"11,425 km",1st Owner,Petrol,UP-16,"₹11,39,000"
