car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price
2021 Honda City,V MT PETROL,Manual,"5,785 km",1st Owner,Petrol,DL-4C,"₹10,48,000"
2022 Hyundai VENUE,S MT 1.2 KAPPA,Manual,"15,163 km",1st Owner,Petrol,DL-7C,"₹8,67,000"
2013 Hyundai i10,SPORTZ 1.2,Manual,"21,545 km",1st Owner,Petrol,HR-51,"₹3,02,000"
2021 Skoda Rapid,MONTE CARLO 1.0 MT,Manual,"35,196 km",1st Owner,Petrol,DL-10,"₹10,57,000"
2021 Hyundai NEW I20,MAGNA 1.2 MT,Manual,"18,141 km",1st Owner,Petrol,DL-12,"₹7,36,000"
2020 Maruti Ciaz,1.5 SIGMA SHVS,Manual,"78,567 km",1st Owner,Petrol,DL-1C,"₹7,13,000"
2019 Datsun Go Plus,T,Manual,"14,128 km",1st Owner,Petrol,DL-3C,"₹5,39,000"
2014 Hyundai Eon,MAGNA PLUS,Manual,"34,328 km",1st Owner,Petrol,DL-3C,"₹2,72,000"
2020 Maruti S PRESSO,VXI CNG,Manual,"68,657 km",1st Owner,CNG,HR-72,"₹3,97,000"
2021 KIA SONET,GTX + 1.0 IMT,Manual,"7,036 km",1st Owner,Petrol,HR-26,"₹12,16,000"
2018 Hyundai i20 Active,1.2 S,Manual,"89,972 km",1st Owner,Petrol,UP-53,"₹6,07,000"
2015 Maruti Wagon R 1.0,VXI,Manual,"56,510 km",1st Owner,Petrol,HR-26,"₹3,32,000"
2020 Maruti Baleno,SIGMA PETROL 1.2,Manual,"18,446 km",2nd Owner,Petrol,DL-5C,"₹5,70,000"
2018 HYUNDAI ELITE I20,MAGNA EXECUTIVE 1.2,Manual,"55,117 km",2nd Owner,Petrol,DL-8C,"₹5,52,000"
2017 Hyundai Creta,E PLUS 1.6 PETROL,Manual,"70,443 km",1st Owner,Petrol,DL-8C,"₹8,20,000"
2019 Hyundai Xcent,SX 1.2,Manual,"42,846 km",1st Owner,CNG,DL-9C,"₹5,79,250"
